Back,Retour
Save,Enregistrer
Url,URL
Add,Ajouter
Edit,Modifier
Delete,Supprimer
Name,Nom
Status,Statut
Filters,Filtres
Settings,Paramètres
Dashboard,"Tableau de bord"
State,État
