Back,Terug
Save,Opslaan
Url,URL
Add,Toevoegen
OK,OK
Edit,Bewerken
Delete,Verwijderen
Name,Naam
Status,Status
Filters,Filters
Settings,Instellingen
Dashboard,Dashboard
Notifications,Meldingen
"Shipping method",Verzendmethode
"Payment method",Betaalmethode
State,Provincie
