Back,Atrás
Save,Guardar
Add,Agregar
OK,Aceptar
Edit,Editar
Delete,Borrar
Name,Nombre
Status,Estado
Filters,Filtros
Settings,Ajustes
Dashboard,Panel
Notifications,Notificaciones
State,"Estado federado"
