Back,Voltar
Save,Gravar
Url,URL
Add,Adicionar
Edit,Editar
Delete,Eliminar
Name,Nome
Status,Estado
Filters,Filtros
Settings,Definições
Dashboard,"Painel de Administração"
Notifications,Notificações
State,Estado
